id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
22913,28 05 2000,Kazakhstan,Palestine,3,2,WAFF Championship,Amman,Jordan,TRUE
22914,28 05 2000,South Korea,Serbia,0,0,Friendly,Seoul,South Korea,FALSE
22915,28 05 2000,Macau,Hong Kong,0,1,Friendly,Macau,Macau,FALSE
22916,28 05 2000,Malta,South Africa,0,1,Friendly,Attard,Malta,FALSE
22917,29 05 2000,Cuba,Haiti,1,1,Friendly,Havana,Cuba,FALSE
22918,30 05 2000,Canada,Honduras,2,1,Friendly,Winnipeg,Canada,FALSE
22919,30 05 2000,Republic of Ireland,Scotland,1,2,Friendly,Dublin,Republic of Ireland,FALSE
22920,30 05 2000,South Korea,Serbia,0,0,Friendly,Seongnam,South Korea,FALSE
22921,31 05 2000,England,Ukraine,2,0,Friendly,London,England,FALSE
22922,31 05 2000,Hungary,Saudi Arabia,2,2,Friendly,Gy??r,Hungary,FALSE
22923,31 05 2000,Iraq,Syria,0,0,WAFF Championship,Amman,Jordan,TRUE
22924,31 05 2000,Jordan,Iran,0,1,WAFF Championship,Amman,Jordan,FALSE
22925,31 05 2000,Russia,Slovakia,1,1,Friendly,Moscow,Russia,FALSE
22926,31 05 2000,Venezuela,Panama,3,1,Friendly,San Crist??bal,Venezuela,FALSE
22927,1 06 2000,Botswana,Mozambique,2,0,Friendly,Mbabane,Eswatini,TRUE
22928,1 06 2000,Eswatini,Lesotho,0,1,Friendly,Lobamba,Eswatini,FALSE
22929,2 06 2000,Iran,Syria,1,0,WAFF Championship,Amman,Jordan,TRUE
22930,2 06 2000,Jordan,Iraq,1,4,WAFF Championship,Amman,Jordan,FALSE
22931,2 06 2000,Lesotho,Mozambique,0,0,Friendly,Mbabane,Eswatini,TRUE
22932,2 06 2000,Portugal,Wales,3,0,Friendly,Chaves,Portugal,FALSE
22933,2 06 2000,Singapore,Qatar,1,5,Friendly,Singapore,Singapore,FALSE
22934,2 06 2000,Eswatini,Botswana,0,0,Friendly,Mbabane,Eswatini,FALSE
22935,3 06 2000,Algeria,Guinea,4,0,Friendly,Annaba,Algeria,FALSE
22936,3 06 2000,Denmark,Belgium,2,2,Friendly,Copenhagen,Denmark,FALSE
22937,3 06 2000,Germany,Czech Republic,3,2,Friendly,Nuremberg,Germany,FALSE
22938,3 06 2000,Honduras,Haiti,4,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE
22939,3 06 2000,Hungary,Israel,2,1,Friendly,Budapest,Hungary,FALSE
22940,3 06 2000,Latvia,Finland,1,0,Friendly,Riga,Latvia,FALSE
22941,3 06 2000,Malta,England,1,2,Friendly,Attard,Malta,FALSE
22942,3 06 2000,Norway,Italy,1,0,Friendly,Oslo,Norway,FALSE
22943,3 06 2000,Paraguay,Ecuador,3,1,FIFA World Cup qualification,Asunci??n,Paraguay,FALSE
22944,3 06 2000,Romania,Greece,2,1,Friendly,Bucharest,Romania,FALSE
22945,3 06 2000,Slovenia,Saudi Arabia,2,0,Friendly,Ljubljana,Slovenia,FALSE
22946,3 06 2000,Sweden,Spain,1,1,Friendly,Gothenburg,Sweden,FALSE
22947,3 06 2000,Uruguay,Chile,2,1,FIFA World Cup qualification,Montevideo,Uruguay,FALSE
22948,3 06 2000,United States,South Africa,4,0,USA Cup,Washington,United States,FALSE
22949,4 06 2000,Argentina,Bolivia,1,0,FIFA World Cup qualification,Buenos Aires,Argentina,FALSE
22950,4 06 2000,Azerbaijan,Georgia,0,0,Friendly,Baku,Azerbaijan,FALSE
22951,4 06 2000,Benin,Togo,1,2,Friendly,Cotonou,Benin,FALSE
22952,4 06 2000,Botswana,Lesotho,1,1,Friendly,Mbabane,Eswatini,TRUE
22953,4 06 2000,Colombia,Venezuela,3,0,FIFA World Cup qualification,Bogot??,Colombia,FALSE
22954,4 06 2000,Cuba,Canada,0,1,FIFA World Cup qualification,Havana,Cuba,FALSE
22955,4 06 2000,Estonia,Belarus,2,0,Friendly,Tallinn,Estonia,FALSE
22956,4 06 2000,France,Japan,2,2,King Hassan II Tournament,Casablanca,Morocco,TRUE
22957,4 06 2000,Mexico,Republic of Ireland,2,2,USA Cup,Chicago,United States,TRUE
22958,4 06 2000,Moldova,Russia,0,1,Friendly,Chi??in??u,Moldova,FALSE
22959,4 06 2000,Morocco,Jamaica,1,0,King Hassan II Tournament,Casablanca,Morocco,FALSE
22960,4 06 2000,Netherlands,Poland,3,1,Friendly,Lausanne,Switzerland,TRUE
22961,4 06 2000,Nigeria,Malawi,3,2,Friendly,Kano,Nigeria,FALSE
22962,4 06 2000,Peru,Brazil,0,1,FIFA World Cup qualification,Lima,Peru,FALSE
22963,4 06 2000,Senegal,Zambia,0,0,Friendly,Dakar,Senegal,FALSE
22964,4 06 2000,Eswatini,Mozambique,1,1,Friendly,Mbabane,Eswatini,FALSE
22965,6 06 2000,Jamaica,Japan,0,4,King Hassan II Tournament,Casablanca,Morocco,TRUE
